survey,series,seriesID,state
CES,"Manufacturing, Seasonally adjusted",SMS12000003000000001, Florida
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS12000004000000001, Florida
CES,"Information, Seasonally adjusted",SMS12000005000000001, Florida
CES,"Financial Activities, Seasonally adjusted",SMS12000005500000001, Florida
CES,"Professional and Business Services, Seasonally adjusted",SMS12000006000000001, Florida
CES,"Education and Health Services, Seasonally adjusted",SMS12000006500000001, Florida
CES,"Leisure and Hospitality, Seasonally adjusted",SMS12000007000000001, Florida
CES,"Other Services, Seasonally adjusted",SMS12000008000000001, Florida
CES,"Government, Seasonally adjusted",SMS12000009000000001, Florida
CES,"Construction, Not seasonally adjusted",SMU12000002000000001, Florida
CES,"Manufacturing, Not seasonally adjusted",SMU12000003000000001, Florida
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU12000004000000001, Florida
CES,"Information, Not seasonally adjusted",SMU12000005000000001, Florida
CES,"Financial Activities, Not seasonally adjusted",SMU12000005500000001, Florida
CES,"Professional and Business Services, Not seasonally adjusted",SMU12000006000000001, Florida
CES,"Education and Health Services, Not seasonally adjusted",SMU12000006500000001, Florida
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU12000007000000001, Florida
CES,"Other Services, Not seasonally adjusted",SMU12000008000000001, Florida
CES,"Government, Not seasonally adjusted",SMU12000009000000001, Florida
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU12000001500000001, Florida
CES,"Total Nonfarm, Seasonally adjusted",SMS13000000000000001, Georgia
CES,"Mining and Logging, Seasonally adjusted",SMS13000001000000001, Georgia
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS13000001500000001, Georgia
CES,"Construction, Seasonally adjusted",SMS13000002000000001, Georgia
CES,"Manufacturing, Seasonally adjusted",SMS13000003000000001, Georgia
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS13000004000000001, Georgia
CES,"Information, Seasonally adjusted",SMS13000005000000001, Georgia
CES,"Financial Activities, Seasonally adjusted",SMS13000005500000001, Georgia
CES,"Professional and Business Services, Seasonally adjusted",SMS13000006000000001, Georgia
CES,"Education and Health Services, Seasonally adjusted",SMS13000006500000001, Georgia
CES,"Leisure and Hospitality, Seasonally adjusted",SMS13000007000000001, Georgia
