"seriesid","series","state","survey","is_adjusted"
"SMS12000000000000001","Total Nonfarm","Florida","CES",True
"SMS12000001500000001","Mining, Logging, and Construction","Florida","CES",True
"SMS12000002000000001","Construction","Florida","CES",True
"SMS12000003000000001","Manufacturing","Florida","CES",True
"SMS12000004000000001","Trade, Transportation, and Utilities","Florida","CES",True
"SMS12000005000000001","Information","Florida","CES",True
"SMS12000005500000001","Financial Activities","Florida","CES",True
"SMS12000006000000001","Professional and Business Services","Florida","CES",True
"SMS12000006500000001","Education and Health Services","Florida","CES",True
"SMS12000007000000001","Leisure and Hospitality","Florida","CES",True
"SMS12000008000000001","Other Services","Florida","CES",True
"SMS12000009000000001","Government","Florida","CES",True
"SMU12000002000000001","Construction","Florida","CES",False
"SMU12000003000000001","Manufacturing","Florida","CES",False
"SMU12000004000000001","Trade, Transportation, and Utilities","Florida","CES",False
"SMU12000005000000001","Information","Florida","CES",False
"SMU12000005500000001","Financial Activities","Florida","CES",False
"SMU12000006000000001","Professional and Business Services","Florida","CES",False
"SMU12000006500000001","Education and Health Services","Florida","CES",False
"SMU12000007000000001","Leisure and Hospitality","Florida","CES",False
"SMU12000008000000001","Other Services","Florida","CES",False
"SMU12000009000000001","Government","Florida","CES",False
"SMU12000001500000001","Mining, Logging, and Construction","Florida","CES",False
"SMS13000000000000001","Total Nonfarm","Georgia","CES",True
"SMS13000001000000001","Mining and Logging","Georgia","CES",True
"SMS13000001500000001","Mining, Logging, and Construction","Georgia","CES",True
"SMS13000002000000001","Construction","Georgia","CES",True
"SMS13000003000000001","Manufacturing","Georgia","CES",True
"SMS13000004000000001","Trade, Transportation, and Utilities","Georgia","CES",True
"SMS13000005000000001","Information","Georgia","CES",True
"SMS13000005500000001","Financial Activities","Georgia","CES",True
"SMS13000006000000001","Professional and Business Services","Georgia","CES",True
"SMS13000006500000001","Education and Health Services","Georgia","CES",True
"SMS13000007000000001","Leisure and Hospitality","Georgia","CES",True
"SMS13000008000000001","Other Services","Georgia","CES",True
"SMS13000009000000001","Government","Georgia","CES",True
"SMU13000000000000001","Total Nonfarm","Georgia","CES",False
"SMU13000001000000001","Mining and Logging","Georgia","CES",False
"SMU13000001500000001","Mining, Logging, and Construction","Georgia","CES",False
"SMU13000002000000001","Construction","Georgia","CES",False
"SMU13000003000000001","Manufacturing","Georgia","CES",False
"SMU13000004000000001","Trade, Transportation, and Utilities","Georgia","CES",False
"SMU13000005000000001","Information","Georgia","CES",False
"SMU13000005500000001","Financial Activities","Georgia","CES",False
"SMU13000006000000001","Professional and Business Services","Georgia","CES",False
"SMU13000006500000001","Education and Health Services","Georgia","CES",False
"SMU13000007000000001","Leisure and Hospitality","Georgia","CES",False
"SMU13000008000000001","Other Services","Georgia","CES",False
"SMU13000009000000001","Government","Georgia","CES",False
"SMS15000000000000001","Total Nonfarm","Hawaii","CES",True
"SMS15000001500000001","Mining, Logging, and Construction","Hawaii","CES",True
"SMS15000003000000001","Manufacturing","Hawaii","CES",True
"SMS15000004000000001","Trade, Transportation, and Utilities","Hawaii","CES",True
"SMS15000005000000001","Information","Hawaii","CES",True
"SMS15000006500000001","Education and Health Services","Hawaii","CES",True
"SMS15000007000000001","Leisure and Hospitality","Hawaii","CES",True
"SMS15000008000000001","Other Services","Hawaii","CES",True
"SMS15000009000000001","Government","Hawaii","CES",True
"SMU15000000000000001","Total Nonfarm","Hawaii","CES",False
"SMU15000001500000001","Mining, Logging, and Construction","Hawaii","CES",False
"SMU15000003000000001","Manufacturing","Hawaii","CES",False
"SMU15000004000000001","Trade, Transportation, and Utilities","Hawaii","CES",False
"SMU15000005000000001","Information","Hawaii","CES",False
"SMU15000005500000001","Financial Activities","Hawaii","CES",False
"SMU15000006000000001","Professional and Business Services","Hawaii","CES",False
"SMU15000006500000001","Education and Health Services","Hawaii","CES",False
"SMU15000007000000001","Leisure and Hospitality","Hawaii","CES",False
"SMU15000008000000001","Other Services","Hawaii","CES",False
"SMU15000009000000001","Government","Hawaii","CES",False
